query,pandas_function_call
Get summary of price,df['price'].describe()
Compute pct change for temperature,df['temperature'].pct_change()
Find kurtosis of weight,df['weight'].kurt()
Find cumulative max of height,df['height'].cummax()
Show frequency distribution for expenses,df['expenses'].value_counts()
Find kurtosis of profit,df['profit'].kurt()
Get cummin for score,df['score'].cummin()
Calculate sum for age,df['age'].sum()
Find number of unique values in weight,df['weight'].nunique()
Get unique values of height,df['height'].unique()
Show lowest value for height,df['height'].min()
Get cummax for profit,df['profit'].cummax()
Describe values of price,df['price'].describe()
Show mean of profit,df['profit'].mean()
Find mode of revenue,df['revenue'].mode()
Show statistics for revenue,df['revenue'].describe()
Describe values of age,df['age'].describe()
Total count for price,df['price'].count()
Get cummin for age,df['age'].cummin()
Find unique values in height,df['height'].unique()
Compute correlation for age,df.corr()['age']
Compute median for score,df['score'].median()
Find covariance of age,df.cov()['age']
Find value counts of score,df['score'].value_counts()
Get variation in expenses,df['expenses'].std()
Get cumprod for score,df['score'].cumprod()
Get diff for score,df['score'].diff()
Get most frequent value in profit,df['profit'].mode()
Compute running max for temperature,df['temperature'].cummax()
Describe values of revenue,df['revenue'].describe()
Find the median of profit,df['profit'].median()
Show statistics for temperature,df['temperature'].describe()
Find value counts of score,df['score'].value_counts()
Compute MAD for temperature,df['temperature'].mad()
Compute correlation for profit,df.corr()['profit']
Describe values of temperature,df['temperature'].describe()
Get variation in sales,df['sales'].std()
Find cumulative product of revenue,df['revenue'].cumprod()
Compute MAD for sales,df['sales'].mad()
Get the max of score,df['score'].max()
Total count for sales,df['sales'].count()
Compute std for revenue,df['revenue'].std()
Find cumulative sum of age,df['age'].cumsum()
Compute covariance for score,df.cov()['score']
Find the median of score,df['score'].median()
Show relationship of price,df.corr()['price']
Find kurtosis of expenses,df['expenses'].kurt()
Get cummax for expenses,df['expenses'].cummax()
Show mean of revenue,df['revenue'].mean()
Show frequency distribution for weight,df['weight'].value_counts()
Compute pct change for age,df['age'].pct_change()
Compute running max for revenue,df['revenue'].cummax()
Compute std for temperature,df['temperature'].std()
Get middle value of height,df['height'].median()
Compute MAD for temperature,df['temperature'].mad()
Find unique values in price,df['price'].unique()
Compute running min for score,df['score'].cummin()
Get cummax for sales,df['sales'].cummax()
Compute kurtosis for age,df['age'].kurt()
Compute median for profit,df['profit'].median()
Describe values of score,df['score'].describe()
Find cumulative min of revenue,df['revenue'].cummin()
Find mode of temperature,df['temperature'].mode()
Find mean absolute deviation of height,df['height'].mad()
Find cumulative product of temperature,df['temperature'].cumprod()
Count entries in sales,df['sales'].count()
Show frequency distribution for expenses,df['expenses'].value_counts()
Get the max of profit,df['profit'].max()
Show skew value for temperature,df['temperature'].skew()
Get cumsum for weight,df['weight'].cumsum()
Find the average of expenses,df['expenses'].mean()
Compute skew for expenses,df['expenses'].skew()
Show mean of revenue,df['revenue'].mean()
Compute change for price,df['price'].diff()
Show covariance of age,df.cov()['age']
Describe values of revenue,df['revenue'].describe()
Compute median for price,df['price'].median()
Find cumulative product of profit,df['profit'].cumprod()
Show skew value for score,df['score'].skew()
Find the median of height,df['height'].median()
Show mean of temperature,df['temperature'].mean()
Get variation in temperature,df['temperature'].std()
Get diff for score,df['score'].diff()
Show covariance of height,df.cov()['height']
Find maximum of temperature,df['temperature'].max()
Find standard deviation of price,df['price'].std()
Find number of unique values in temperature,df['temperature'].nunique()
Get diff for profit,df['profit'].diff()
Find skewness of age,df['age'].skew()
Get cumprod for age,df['age'].cumprod()
Count unique entries for sales,df['sales'].nunique()
Find unique values in profit,df['profit'].unique()
Compute percentile for height,df['height'].quantile(0.5)
Find the median of temperature,df['temperature'].median()
Count unique entries for expenses,df['expenses'].nunique()
Show mean of score,df['score'].mean()
Find standard deviation of sales,df['sales'].std()
Compute running max for expenses,df['expenses'].cummax()
Compute median for score,df['score'].median()
Get middle value of weight,df['weight'].median()
Find mean absolute deviation of height,df['height'].mad()
Get cummax for profit,df['profit'].cummax()
Compute median for height,df['height'].median()
Compute correlation for expenses,df.corr()['expenses']
Get diff for expenses,df['expenses'].diff()
Get middle value of weight,df['weight'].median()
Find standard deviation of temperature,df['temperature'].std()
Count unique entries for age,df['age'].nunique()
Show relationship of expenses,df.corr()['expenses']
Get nunique of price,df['price'].nunique()
Compute mode for price,df['price'].mode()
Find median quantile of revenue,df['revenue'].quantile(0.5)
Compute mode for sales,df['sales'].mode()
Compute percentile for height,df['height'].quantile(0.5)
Total count for height,df['height'].count()
Get cummin for temperature,df['temperature'].cummin()
Find difference in price,df['price'].diff()
Compute running total for price,df['price'].cumsum()
Find cumulative product of expenses,df['expenses'].cumprod()
Find the median of age,df['age'].median()
Find skewness of height,df['height'].skew()
Get most frequent value in height,df['height'].mode()
Show kurtosis of weight,df['weight'].kurt()
Compute running max for profit,df['profit'].cummax()
Compute change for profit,df['profit'].diff()
Compute correlation for expenses,df.corr()['expenses']
Find maximum of sales,df['sales'].max()
Show mean of weight,df['weight'].mean()
Find standard deviation of price,df['price'].std()
Get MAD of temperature,df['temperature'].mad()
Compute pct change for height,df['height'].pct_change()
Find cumulative max of score,df['score'].cummax()
Get middle value of score,df['score'].median()
Find variance of price,df['price'].var()
Get cummax for revenue,df['revenue'].cummax()
Compute covariance for sales,df.cov()['sales']
Get summary of revenue,df['revenue'].describe()
Show distinct entries for revenue,df['revenue'].unique()
Find percentage change in age,df['age'].pct_change()
Find difference in expenses,df['expenses'].diff()
Find cumulative product of revenue,df['revenue'].cumprod()
Find correlation with height,df.corr()['height']
Get cummax for price,df['price'].cummax()
Find cumulative max of revenue,df['revenue'].cummax()
Get cummin for weight,df['weight'].cummin()
Find correlation with sales,df.corr()['sales']
Get diff for profit,df['profit'].diff()
Find number of records for weight,df['weight'].count()
Find the sum of score,df['score'].sum()
Compute skew for score,df['score'].skew()
Find number of unique values in weight,df['weight'].nunique()
Count unique entries for age,df['age'].nunique()
Show statistics for height,df['height'].describe()
Find number of records for sales,df['sales'].count()
Compute running product for temperature,df['temperature'].cumprod()
Show percent change of sales,df['sales'].pct_change()
Compute percentile for temperature,df['temperature'].quantile(0.5)
Compute variance for score,df['score'].var()
Find covariance of expenses,df.cov()['expenses']
Find difference in revenue,df['revenue'].diff()
Get summary of age,df['age'].describe()
Show skew value for price,df['price'].skew()
Find cumulative sum of temperature,df['temperature'].cumsum()
Compute skew for score,df['score'].skew()
Compute median for price,df['price'].median()
Count entries in sales,df['sales'].count()
Compute skew for height,df['height'].skew()
Calculate sum for height,df['height'].sum()
Show highest value for age,df['age'].max()
Get total of expenses,df['expenses'].sum()
Find percentage change in height,df['height'].pct_change()
Find maximum of expenses,df['expenses'].max()
Compute running total for revenue,df['revenue'].cumsum()
Show statistics for height,df['height'].describe()
Get MAD of age,df['age'].mad()
Get summary of height,df['height'].describe()
Find maximum of weight,df['weight'].max()
Get cumprod for profit,df['profit'].cumprod()
Compute running min for score,df['score'].cummin()
Show skew value for price,df['price'].skew()
Show statistics for score,df['score'].describe()
Find cumulative min of expenses,df['expenses'].cummin()
Show relationship of temperature,df.corr()['temperature']
Get cumprod for temperature,df['temperature'].cumprod()
Compute mean for weight,df['weight'].mean()
Show frequency distribution for sales,df['sales'].value_counts()
Find median quantile of age,df['age'].quantile(0.5)
Find difference in price,df['price'].diff()
Calculate sum for revenue,df['revenue'].sum()
Find number of records for profit,df['profit'].count()
Find number of unique values in price,df['price'].nunique()
Get cumprod for age,df['age'].cumprod()
Compute mode for weight,df['weight'].mode()
Compute percentile for score,df['score'].quantile(0.5)
Get diff for profit,df['profit'].diff()
Compute mean for weight,df['weight'].mean()
Get unique values of age,df['age'].unique()
Get the max of profit,df['profit'].max()
Get the max of temperature,df['temperature'].max()
Find unique values in expenses,df['expenses'].unique()
Compute running max for age,df['age'].cummax()
Find number of records for score,df['score'].count()
Compute covariance for temperature,df.cov()['temperature']
Get middle value of profit,df['profit'].median()
Show percent change of sales,df['sales'].pct_change()
Get the min of height,df['height'].min()
Compute pct change for height,df['height'].pct_change()
Compute value counts of height,df['height'].value_counts()
Get variation in price,df['price'].std()
Find the sum of profit,df['profit'].sum()
Get total of temperature,df['temperature'].sum()
Compute skew for profit,df['profit'].skew()
Show distinct entries for weight,df['weight'].unique()
Get MAD of sales,df['sales'].mad()
Get diff for score,df['score'].diff()
Compute skew for age,df['age'].skew()
Find covariance of expenses,df.cov()['expenses']
Find covariance of profit,df.cov()['profit']
Calculate sum for revenue,df['revenue'].sum()
Find mean absolute deviation of age,df['age'].mad()
Get quantile for weight,df['weight'].quantile(0.5)
Compute running min for expenses,df['expenses'].cummin()
Compute correlation for sales,df.corr()['sales']
Show distinct entries for expenses,df['expenses'].unique()
Find covariance of expenses,df.cov()['expenses']
Compute mode for expenses,df['expenses'].mode()
Find maximum of weight,df['weight'].max()
Find kurtosis of expenses,df['expenses'].kurt()
Show percent change of expenses,df['expenses'].pct_change()
Find number of unique values in weight,df['weight'].nunique()
Get the min of temperature,df['temperature'].min()
Compute skew for expenses,df['expenses'].skew()
Show skew value for weight,df['weight'].skew()
Get cummax for weight,df['weight'].cummax()
Find percentage change in height,df['height'].pct_change()
Find standard deviation of price,df['price'].std()
Show kurtosis of age,df['age'].kurt()
Find value counts of sales,df['sales'].value_counts()
Compute skew for sales,df['sales'].skew()
Show frequency distribution for profit,df['profit'].value_counts()
Find percentage change in score,df['score'].pct_change()
Show mean of weight,df['weight'].mean()
Compute running product for score,df['score'].cumprod()
Find maximum of profit,df['profit'].max()
Compute MAD for score,df['score'].mad()
Get the max of sales,df['sales'].max()
Compute running max for temperature,df['temperature'].cummax()
Count entries in revenue,df['revenue'].count()
Get variation in expenses,df['expenses'].std()
Calculate sum for score,df['score'].sum()
Show lowest value for weight,df['weight'].min()
Total count for height,df['height'].count()
Calculate sum for age,df['age'].sum()
Get statistical variance of weight,df['weight'].var()
Find cumulative product of price,df['price'].cumprod()
Get cummax for age,df['age'].cummax()
Get most frequent value in age,df['age'].mode()
Show kurtosis of weight,df['weight'].kurt()
Find median quantile of profit,df['profit'].quantile(0.5)
Compute running product for sales,df['sales'].cumprod()
Get nunique of expenses,df['expenses'].nunique()
Find skewness of profit,df['profit'].skew()
Find cumulative product of age,df['age'].cumprod()
Get unique values of height,df['height'].unique()
Find maximum of expenses,df['expenses'].max()
Show distinct entries for score,df['score'].unique()
Find mode of price,df['price'].mode()
Show skew value for revenue,df['revenue'].skew()
Compute pct change for height,df['height'].pct_change()
Find percentage change in price,df['price'].pct_change()
Compute change for weight,df['weight'].diff()
Compute correlation for weight,df.corr()['weight']
Compute variance for profit,df['profit'].var()
Find number of unique values in weight,df['weight'].nunique()
Find maximum of weight,df['weight'].max()
Show kurtosis of weight,df['weight'].kurt()
Get diff for sales,df['sales'].diff()
Show highest value for weight,df['weight'].max()
Calculate sum for revenue,df['revenue'].sum()
Describe values of age,df['age'].describe()
Find cumulative min of age,df['age'].cummin()
Calculate sum for revenue,df['revenue'].sum()
Compute pct change for expenses,df['expenses'].pct_change()
Show percent change of score,df['score'].pct_change()
Find difference in expenses,df['expenses'].diff()
Compute running min for age,df['age'].cummin()
Compute variance for sales,df['sales'].var()
Find skewness of height,df['height'].skew()
Find mean absolute deviation of sales,df['sales'].mad()
Show distinct entries for weight,df['weight'].unique()
Get cummin for temperature,df['temperature'].cummin()
Find standard deviation of sales,df['sales'].std()
Get cummax for weight,df['weight'].cummax()
Find median quantile of sales,df['sales'].quantile(0.5)
Find kurtosis of profit,df['profit'].kurt()
Get MAD of sales,df['sales'].mad()
Compute change for weight,df['weight'].diff()
Compute median for sales,df['sales'].median()
Calculate sum for price,df['price'].sum()
Find number of records for sales,df['sales'].count()
Compute value counts of expenses,df['expenses'].value_counts()
Compute MAD for revenue,df['revenue'].mad()
Find minimum of score,df['score'].min()
Get nunique of price,df['price'].nunique()
Get nunique of score,df['score'].nunique()
Find minimum of weight,df['weight'].min()
Find the median of height,df['height'].median()
Show kurtosis of temperature,df['temperature'].kurt()
Find cumulative sum of age,df['age'].cumsum()
Find variance of revenue,df['revenue'].var()
Compute variance for weight,df['weight'].var()
Compute change for sales,df['sales'].diff()
Get statistical variance of expenses,df['expenses'].var()
Compute mode for age,df['age'].mode()
Compute mode for price,df['price'].mode()
Show skew value for height,df['height'].skew()
Get summary of score,df['score'].describe()
Show covariance of weight,df.cov()['weight']
Compute change for profit,df['profit'].diff()
Find value counts of profit,df['profit'].value_counts()
Find the average of weight,df['weight'].mean()
Find standard deviation of expenses,df['expenses'].std()
Calculate sum for profit,df['profit'].sum()
Compute percentile for price,df['price'].quantile(0.5)
Find mean absolute deviation of price,df['price'].mad()
Show highest value for price,df['price'].max()
Get cummax for revenue,df['revenue'].cummax()
Find mean absolute deviation of expenses,df['expenses'].mad()
Compute median for profit,df['profit'].median()
Find standard deviation of revenue,df['revenue'].std()
Total count for height,df['height'].count()
Compute variance for expenses,df['expenses'].var()
Compute running min for age,df['age'].cummin()
Compute mode for height,df['height'].mode()
Find value counts of weight,df['weight'].value_counts()
Compute correlation for sales,df.corr()['sales']
Compute percentile for score,df['score'].quantile(0.5)
Find variance of temperature,df['temperature'].var()
Find number of records for height,df['height'].count()
Find cumulative min of price,df['price'].cummin()
Total count for temperature,df['temperature'].count()
Compute running total for score,df['score'].cumsum()
Show percent change of weight,df['weight'].pct_change()
Count unique entries for expenses,df['expenses'].nunique()
Find cumulative min of score,df['score'].cummin()
Find cumulative max of revenue,df['revenue'].cummax()
Show relationship of revenue,df.corr()['revenue']
Compute variance for revenue,df['revenue'].var()
Calculate sum for price,df['price'].sum()
Get the max of sales,df['sales'].max()
Find value counts of height,df['height'].value_counts()
Compute correlation for expenses,df.corr()['expenses']
Compute MAD for revenue,df['revenue'].mad()
Compute value counts of score,df['score'].value_counts()
Compute running max for expenses,df['expenses'].cummax()
Find maximum of score,df['score'].max()
Get the min of weight,df['weight'].min()
Count unique entries for score,df['score'].nunique()
Get unique values of age,df['age'].unique()
Get total of temperature,df['temperature'].sum()
Show frequency distribution for revenue,df['revenue'].value_counts()
Show lowest value for sales,df['sales'].min()
Get variation in price,df['price'].std()
Describe values of score,df['score'].describe()
Get middle value of temperature,df['temperature'].median()
Compute correlation for score,df.corr()['score']
Get cumprod for score,df['score'].cumprod()
Find median quantile of temperature,df['temperature'].quantile(0.5)
Find cumulative product of score,df['score'].cumprod()
Find covariance of temperature,df.cov()['temperature']
Get nunique of price,df['price'].nunique()
Show skew value for revenue,df['revenue'].skew()
Find kurtosis of weight,df['weight'].kurt()
Compute value counts of weight,df['weight'].value_counts()
Get most frequent value in temperature,df['temperature'].mode()
Compute covariance for price,df.cov()['price']
Find number of unique values in profit,df['profit'].nunique()
Get MAD of price,df['price'].mad()
Compute median for revenue,df['revenue'].median()
Find variance of weight,df['weight'].var()
Get the max of revenue,df['revenue'].max()
Get the max of weight,df['weight'].max()
Find number of records for price,df['price'].count()
Find number of unique values in height,df['height'].nunique()
Compute running max for revenue,df['revenue'].cummax()
Get variation in height,df['height'].std()
Compute kurtosis for revenue,df['revenue'].kurt()
Compute pct change for weight,df['weight'].pct_change()
Show distinct entries for price,df['price'].unique()
Find value counts of expenses,df['expenses'].value_counts()
Show highest value for age,df['age'].max()
Find kurtosis of age,df['age'].kurt()
Describe values of profit,df['profit'].describe()
Show percent change of weight,df['weight'].pct_change()
Find standard deviation of temperature,df['temperature'].std()
Get cumprod for price,df['price'].cumprod()
Get MAD of temperature,df['temperature'].mad()
Find the sum of score,df['score'].sum()
Show lowest value for revenue,df['revenue'].min()
Compute running product for expenses,df['expenses'].cumprod()
Show relationship of profit,df.corr()['profit']
Find cumulative sum of age,df['age'].cumsum()
Find the median of revenue,df['revenue'].median()
Show relationship of height,df.corr()['height']
Get total of temperature,df['temperature'].sum()
Find percentage change in score,df['score'].pct_change()
Get summary of profit,df['profit'].describe()
Compute mean for weight,df['weight'].mean()
Find kurtosis of temperature,df['temperature'].kurt()
Find the median of weight,df['weight'].median()
Get diff for expenses,df['expenses'].diff()
Compute percentile for weight,df['weight'].quantile(0.5)
Find standard deviation of weight,df['weight'].std()
Find value counts of height,df['height'].value_counts()
Compute median for expenses,df['expenses'].median()
Show distinct entries for price,df['price'].unique()
Compute skew for price,df['price'].skew()
Compute running total for revenue,df['revenue'].cumsum()
Find number of unique values in temperature,df['temperature'].nunique()
Get the max of price,df['price'].max()
Find correlation with score,df.corr()['score']
Get the max of expenses,df['expenses'].max()
Get quantile for price,df['price'].quantile(0.5)
Find minimum of temperature,df['temperature'].min()
Get nunique of profit,df['profit'].nunique()
Show lowest value for revenue,df['revenue'].min()
Count entries in weight,df['weight'].count()
Describe values of weight,df['weight'].describe()
Get the min of expenses,df['expenses'].min()
Get the max of sales,df['sales'].max()
Compute change for expenses,df['expenses'].diff()
Compute running total for profit,df['profit'].cumsum()
Find correlation with weight,df.corr()['weight']
Show frequency distribution for profit,df['profit'].value_counts()
Compute running min for height,df['height'].cummin()
Calculate sum for height,df['height'].sum()
Calculate sum for expenses,df['expenses'].sum()
Compute running total for score,df['score'].cumsum()
Compute running min for expenses,df['expenses'].cummin()
Show skew value for weight,df['weight'].skew()
Show distinct entries for height,df['height'].unique()
Find the average of expenses,df['expenses'].mean()
Show kurtosis of weight,df['weight'].kurt()
Get the min of profit,df['profit'].min()
Compute mode for age,df['age'].mode()
Find variance of age,df['age'].var()
Find median quantile of score,df['score'].quantile(0.5)
Show statistics for profit,df['profit'].describe()
Get cummin for price,df['price'].cummin()
Compute running total for price,df['price'].cumsum()
Compute variance for revenue,df['revenue'].var()
Find cumulative sum of expenses,df['expenses'].cumsum()
Find cumulative product of temperature,df['temperature'].cumprod()
Show kurtosis of profit,df['profit'].kurt()
Compute median for sales,df['sales'].median()
Find unique values in temperature,df['temperature'].unique()
Count unique entries for sales,df['sales'].nunique()
Get total of revenue,df['revenue'].sum()
Find correlation with revenue,df.corr()['revenue']
Get cummin for weight,df['weight'].cummin()
Find difference in score,df['score'].diff()
Show highest value for score,df['score'].max()
Show covariance of score,df.cov()['score']
Find mean absolute deviation of score,df['score'].mad()
Find cumulative max of expenses,df['expenses'].cummax()
Find maximum of height,df['height'].max()
Get the max of revenue,df['revenue'].max()
Get middle value of revenue,df['revenue'].median()
Show relationship of price,df.corr()['price']
Find minimum of age,df['age'].min()
Get nunique of price,df['price'].nunique()
Find cumulative product of weight,df['weight'].cumprod()
Get statistical variance of height,df['height'].var()
Get cumsum for revenue,df['revenue'].cumsum()
Find the median of height,df['height'].median()
Show skew value for score,df['score'].skew()
Find standard deviation of weight,df['weight'].std()
Compute variance for score,df['score'].var()
Find kurtosis of sales,df['sales'].kurt()
Get nunique of temperature,df['temperature'].nunique()
Show distinct entries for score,df['score'].unique()
Find cumulative product of height,df['height'].cumprod()
Find cumulative sum of age,df['age'].cumsum()
Find kurtosis of sales,df['sales'].kurt()
Compute value counts of score,df['score'].value_counts()
Compute change for sales,df['sales'].diff()
Show highest value for score,df['score'].max()
Compute running total for score,df['score'].cumsum()
Find variance of expenses,df['expenses'].var()
Get quantile for sales,df['sales'].quantile(0.5)
Compute std for temperature,df['temperature'].std()
Compute running total for score,df['score'].cumsum()
Compute covariance for temperature,df.cov()['temperature']
Find number of records for profit,df['profit'].count()
Compute running max for age,df['age'].cummax()
Get cummin for revenue,df['revenue'].cummin()
Get MAD of temperature,df['temperature'].mad()
Show covariance of height,df.cov()['height']
Get diff for age,df['age'].diff()
Compute std for score,df['score'].std()
Show kurtosis of price,df['price'].kurt()
Compute pct change for score,df['score'].pct_change()
Get cummax for age,df['age'].cummax()
Find median quantile of temperature,df['temperature'].quantile(0.5)
Find the sum of sales,df['sales'].sum()
Compute median for expenses,df['expenses'].median()
Compute percentile for price,df['price'].quantile(0.5)
Find standard deviation of revenue,df['revenue'].std()
Find number of records for score,df['score'].count()
Get cumprod for age,df['age'].cumprod()
Get nunique of height,df['height'].nunique()
Show relationship of price,df.corr()['price']
Find correlation with revenue,df.corr()['revenue']
Show lowest value for expenses,df['expenses'].min()
Get most frequent value in weight,df['weight'].mode()
Find median quantile of expenses,df['expenses'].quantile(0.5)
Find the average of revenue,df['revenue'].mean()
Get cummax for profit,df['profit'].cummax()
Find number of records for age,df['age'].count()
Count unique entries for profit,df['profit'].nunique()
Compute variance for profit,df['profit'].var()
Compute median for score,df['score'].median()
Compute kurtosis for price,df['price'].kurt()
Compute mean for price,df['price'].mean()
Get MAD of age,df['age'].mad()
Show lowest value for expenses,df['expenses'].min()
Get variation in revenue,df['revenue'].std()
Find cumulative product of age,df['age'].cumprod()
Compute running product for profit,df['profit'].cumprod()
Get statistical variance of weight,df['weight'].var()
Find the sum of temperature,df['temperature'].sum()
Show highest value for sales,df['sales'].max()
Compute running total for price,df['price'].cumsum()
Find percentage change in expenses,df['expenses'].pct_change()
Get most frequent value in revenue,df['revenue'].mode()
Find the average of age,df['age'].mean()
Show distinct entries for sales,df['sales'].unique()
Get summary of weight,df['weight'].describe()
Show distinct entries for revenue,df['revenue'].unique()
Compute median for weight,df['weight'].median()
Compute mean for expenses,df['expenses'].mean()
Compute running min for age,df['age'].cummin()
Compute MAD for height,df['height'].mad()
Compute running max for score,df['score'].cummax()
Show frequency distribution for profit,df['profit'].value_counts()
Find percentage change in expenses,df['expenses'].pct_change()
Get cumprod for profit,df['profit'].cumprod()
Show lowest value for expenses,df['expenses'].min()
Get cumprod for age,df['age'].cumprod()
Find difference in age,df['age'].diff()
Get statistical variance of price,df['price'].var()
Find cumulative min of profit,df['profit'].cummin()
Compute running min for temperature,df['temperature'].cummin()
Compute running max for profit,df['profit'].cummax()
Get diff for expenses,df['expenses'].diff()
Get statistical variance of expenses,df['expenses'].var()
Get cummax for age,df['age'].cummax()
Get diff for height,df['height'].diff()
Total count for weight,df['weight'].count()
Find cumulative min of expenses,df['expenses'].cummin()
Find difference in profit,df['profit'].diff()
Compute value counts of price,df['price'].value_counts()
Find covariance of weight,df.cov()['weight']
Find percentage change in temperature,df['temperature'].pct_change()
Get variation in expenses,df['expenses'].std()
Show mean of expenses,df['expenses'].mean()
Find percentage change in temperature,df['temperature'].pct_change()
Find cumulative min of height,df['height'].cummin()
Get MAD of profit,df['profit'].mad()
Get MAD of score,df['score'].mad()
Compute correlation for weight,df.corr()['weight']
Find cumulative product of temperature,df['temperature'].cumprod()
Calculate sum for weight,df['weight'].sum()
Get middle value of score,df['score'].median()
Show statistics for height,df['height'].describe()
Compute running min for price,df['price'].cummin()
Compute std for age,df['age'].std()
Show lowest value for profit,df['profit'].min()
Get unique values of sales,df['sales'].unique()
Compute mean for height,df['height'].mean()
Compute median for profit,df['profit'].median()
Find median quantile of temperature,df['temperature'].quantile(0.5)
Get the max of temperature,df['temperature'].max()
Get cumsum for profit,df['profit'].cumsum()
Find the sum of sales,df['sales'].sum()
Get summary of temperature,df['temperature'].describe()
Compute std for profit,df['profit'].std()
Get the max of expenses,df['expenses'].max()
Get unique values of sales,df['sales'].unique()
Find the sum of age,df['age'].sum()
Compute pct change for score,df['score'].pct_change()
Show percent change of price,df['price'].pct_change()
Compute percentile for height,df['height'].quantile(0.5)
Compute value counts of revenue,df['revenue'].value_counts()
Get total of revenue,df['revenue'].sum()
Compute running product for age,df['age'].cumprod()
Count unique entries for revenue,df['revenue'].nunique()
Compute running max for weight,df['weight'].cummax()
Compute running min for profit,df['profit'].cummin()
Find value counts of expenses,df['expenses'].value_counts()
Show percent change of height,df['height'].pct_change()
Count unique entries for temperature,df['temperature'].nunique()
Compute mean for price,df['price'].mean()
Compute skew for expenses,df['expenses'].skew()
Calculate sum for sales,df['sales'].sum()
Get middle value of profit,df['profit'].median()
Get quantile for temperature,df['temperature'].quantile(0.5)
Compute mode for expenses,df['expenses'].mode()
Get cummin for score,df['score'].cummin()
Compute kurtosis for revenue,df['revenue'].kurt()
Find cumulative product of weight,df['weight'].cumprod()
Compute mean for temperature,df['temperature'].mean()
Get quantile for score,df['score'].quantile(0.5)
Compute std for age,df['age'].std()
Compute value counts of price,df['price'].value_counts()
Find the average of weight,df['weight'].mean()
Show frequency distribution for score,df['score'].value_counts()
Find variance of height,df['height'].var()
Find skewness of temperature,df['temperature'].skew()
Compute mode for price,df['price'].mode()
Get most frequent value in expenses,df['expenses'].mode()
Get statistical variance of price,df['price'].var()
Compute mean for price,df['price'].mean()
Compute std for expenses,df['expenses'].std()
Get total of price,df['price'].sum()
Find percentage change in profit,df['profit'].pct_change()
Get cumsum for price,df['price'].cumsum()
Compute running max for temperature,df['temperature'].cummax()
Find standard deviation of expenses,df['expenses'].std()
Show statistics for age,df['age'].describe()
Get diff for score,df['score'].diff()
Find correlation with score,df.corr()['score']
Find mean absolute deviation of score,df['score'].mad()
Find number of unique values in temperature,df['temperature'].nunique()
Find standard deviation of height,df['height'].std()
Find difference in sales,df['sales'].diff()
Compute running product for revenue,df['revenue'].cumprod()
Find kurtosis of profit,df['profit'].kurt()
Find difference in height,df['height'].diff()
Compute covariance for expenses,df.cov()['expenses']
Compute mode for age,df['age'].mode()
Get cumprod for sales,df['sales'].cumprod()
Find value counts of expenses,df['expenses'].value_counts()
Get summary of height,df['height'].describe()
Count unique entries for weight,df['weight'].nunique()
Show distinct entries for age,df['age'].unique()
Find the sum of profit,df['profit'].sum()
Show statistics for profit,df['profit'].describe()
Compute running total for age,df['age'].cumsum()
Find mode of temperature,df['temperature'].mode()
Compute median for revenue,df['revenue'].median()
Find variance of temperature,df['temperature'].var()
Show statistics for score,df['score'].describe()
Find skewness of height,df['height'].skew()
Get diff for age,df['age'].diff()
Get summary of expenses,df['expenses'].describe()
Get middle value of expenses,df['expenses'].median()
Compute pct change for expenses,df['expenses'].pct_change()
Show frequency distribution for profit,df['profit'].value_counts()
Find correlation with temperature,df.corr()['temperature']
Compute running total for height,df['height'].cumsum()
Find difference in temperature,df['temperature'].diff()
Find cumulative min of temperature,df['temperature'].cummin()
Show mean of expenses,df['expenses'].mean()
Show distinct entries for profit,df['profit'].unique()
Find correlation with price,df.corr()['price']
Find the sum of sales,df['sales'].sum()
Compute running product for weight,df['weight'].cumprod()
Compute mode for revenue,df['revenue'].mode()
Find cumulative sum of weight,df['weight'].cumsum()
Compute std for revenue,df['revenue'].std()
Find covariance of age,df.cov()['age']
Find cumulative max of age,df['age'].cummax()
Compute running product for expenses,df['expenses'].cumprod()
Compute mode for weight,df['weight'].mode()
Get cummin for age,df['age'].cummin()
Show frequency distribution for profit,df['profit'].value_counts()
Find the median of temperature,df['temperature'].median()
Find unique values in sales,df['sales'].unique()
Compute change for height,df['height'].diff()
Get the max of score,df['score'].max()
Compute skew for weight,df['weight'].skew()
Show covariance of height,df.cov()['height']
Get nunique of height,df['height'].nunique()
Total count for revenue,df['revenue'].count()
Find unique values in weight,df['weight'].unique()
Find difference in price,df['price'].diff()
Total count for age,df['age'].count()
Show distinct entries for temperature,df['temperature'].unique()
Get statistical variance of temperature,df['temperature'].var()
Get summary of revenue,df['revenue'].describe()
Get summary of height,df['height'].describe()
Compute running min for temperature,df['temperature'].cummin()
Compute variance for sales,df['sales'].var()
Compute change for sales,df['sales'].diff()
Get diff for temperature,df['temperature'].diff()
Compute mean for temperature,df['temperature'].mean()
Find cumulative max of age,df['age'].cummax()
Compute change for price,df['price'].diff()
Find maximum of height,df['height'].max()
Find cumulative product of expenses,df['expenses'].cumprod()
Find the average of score,df['score'].mean()
Get statistical variance of sales,df['sales'].var()
Get cumprod for height,df['height'].cumprod()
Find correlation with age,df.corr()['age']
Find correlation with temperature,df.corr()['temperature']
Find the sum of score,df['score'].sum()
Show kurtosis of expenses,df['expenses'].kurt()
Compute skew for revenue,df['revenue'].skew()
Calculate sum for height,df['height'].sum()
Get summary of revenue,df['revenue'].describe()
Find difference in price,df['price'].diff()
Find median quantile of sales,df['sales'].quantile(0.5)
